trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
706,False,"{'a': 0.5, 'e': 0.02904658009432933}",20,6,26.356577880968256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 0.028901347193857688}",30,23,4.976148906004029,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.5, 'e': 0.028756840457888396}",20,9,-0.7069864394298997,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
709,False,"{'a': 0.5, 'e': 0.028613056255598956}",25,14,18.392210563978136,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 0.02846999097432096}",20,7,24.706784803235294,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.028327641019449356}",25,13,19.45162756797769,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.028186002814352108}",25,15,19.34478404412626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 0.028045072800280346}",25,18,13.969554547567874,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 0.027904847436278947}",30,7,29.514177797858096,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 0.027765323199097552}",30,12,-7.293665810045584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
716,False,"{'a': 0.5, 'e': 0.027626496583102064}",25,5,36.7824995338273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.02748836410018655}",25,14,18.368366648222963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.02735092227968562}",35,16,32.01795693156555,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 0.02721416766828719}",20,12,15.176195711992087,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.5, 'e': 0.027078096829945757}",20,15,10.570840913541247,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.026942706345796028}",20,10,16.780464461128958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.026807992814067046}",20,5,15.430811802711416,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.026673952849996713}",35,9,42.39018386786265,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.02654058308574673}",20,16,6.255427808088227,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.026407880170317994}",35,8,44.625285858241284,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.5, 'e': 0.026275840769466402}",20,11,17.31680277033388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.5, 'e': 0.026144461565619073}",25,10,26.768057458068654,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 0.026013739257790977}",30,3,40.53632023113843,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.02588367056150202}",25,9,17.932985506197834,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.02575425220869451}",20,16,7.011506937326815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.025625480947651037}",25,14,5.7782350463518295,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 0.025497353542912785}",20,0,-8.85725685702718,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
733,False,"{'a': 0.5, 'e': 0.02536986677519822}",30,14,25.97279980463803,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
